Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
PLATINA GARDENS,SEMBAWANG ROAD,Shop House,"2,400,000","1,054.87","2,275",Feb-24,Strata,98,"24,490",Freehold,27,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"18,680,000","4,318.52","4,326",Feb-24,Land,401.2,"46,560",Freehold,14,-
N.A.,EAST COAST ROAD,Shop House,"7,450,000","2,417.59","3,082",Feb-24,Land,224.6,"33,170",Freehold,15,-
LITTLE INDIA CONSERVATION AREA,CUFF ROAD,Shop House,"6,400,000","1,537.1","4,164",Feb-24,Land,142.8,"44,818",Freehold,08,-
N.A.,SYED ALWI ROAD,Shop House,"14,380,000","2,709.3","5,308",Feb-24,Land,251.7,"57,132",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,MADRAS STREET,Shop House,"5,200,000","1,480.05","3,513",Feb-24,Land,137.5,"37,818",99 yrs lease commencing from 1994,08,-
LITTLE INDIA CONSERVATION AREA,CLIVE STREET,Shop House,"5,150,000",768.55,"6,701",Feb-24,Land,71.4,"72,129",Freehold,08,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"9,500,000","1,752.38","5,421",Jan-24,Land,162.8,"58,354",99 yrs lease commencing from 2000,02,-
N.A.,SYED ALWI ROAD,Shop House,"7,780,000","1,269.08","6,130",Jan-24,Land,117.9,"65,988",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"5,250,000",588.79,"8,917",Jan-24,Land,54.7,"95,978",999 yrs lease commencing from 1878,08,-
N.A.,EMERALD HILL ROAD,Shop House,"16,000,000","1,657.66","9,652",Dec-23,Land,154,"103,896",Freehold,09,-
N.A.,SIMS AVENUE,Shop House,"3,650,000","1,287.37","2,835",Dec-23,Land,119.6,"30,518",Freehold,14,-
SOUTH UNION PARK,JALAN TUA KONG,Shop House,"1,650,000","1,356.26","1,217",Nov-23,Strata,126,"13,095",Freehold,15,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"9,200,000","2,546.76","3,612",Nov-23,Land,236.6,"38,884",Freehold,14,-
N.A.,SERANGOON ROAD,Shop House,"18,500,000","2,235.68","8,275",Nov-23,Land,207.7,"89,071",999 yrs lease commencing from 1860,08,-
N.A.,MACPHERSON ROAD,Shop House,"1,821,090","1,399.32","1,301",Nov-23,Strata,130,"14,008",9999 yrs lease commencing from 1959,13,-
N.A.,BUKIT TIMAH ROAD,Shop House,"5,400,000","1,426.23","3,786",Nov-23,Land,132.5,"40,755",Freehold,09,-
N.A.,THOMSON RIDGE,Shop House,"17,000,000","3,482.15","4,882",Oct-23,Land,323.5,"52,550",Freehold,20,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,260,000",763.17,"5,582",Oct-23,Land,70.9,"60,085",Freehold,08,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"5,060,000","1,517.72","3,334",Oct-23,Land,141,"35,887",199 yrs lease commencing from 2005,14,-
ENG KONG PARK,ENG KONG TERRACE,Shop House,"3,900,000","1,520.95","2,564",Oct-23,Land,141.3,"27,601",Freehold,21,-
DESKER ROAD CONSERVATION AREA,ROWELL ROAD,Shop House,"4,950,000","1,103.31","4,486",Oct-23,Land,102.5,"48,293",Freehold,08,-
N.A.,RACE COURSE ROAD,Shop House,"5,300,000","1,625.36","3,261",Oct-23,Land,151,"35,099",Freehold,08,-
N.A.,OWEN ROAD,Shop House,"1,900,000","3,372.36",563,Oct-23,Land,313.3,"6,064",99 yrs lease commencing from 1959,08,-
LITTLE INDIA CONSERVATION AREA,UPPER WELD ROAD,Shop House,"5,500,000","1,174.35","4,683",Oct-23,Land,109.1,"50,412",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,SERANGOON ROAD,Shop House,"7,000,000",857.89,"8,160",Oct-23,Land,79.7,"87,829",Freehold,08,-
N.A.,CHANGI ROAD,Shop House,"3,980,000","1,636.13","2,433",Sep-23,Strata,152,"26,184",Freehold,14,-
N.A.,UPPER EAST COAST ROAD,Shop House,"5,800,000","2,206.62","2,628",Sep-23,Strata,205,"28,293",Freehold,15,-
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,"7,880,000","1,174.35","6,710",Sep-23,Land,109.1,"72,227",Freehold,03,-
N.A.,LORONG 25A GEYLANG,Shop House,"1,265,000",990.29,"1,277",Sep-23,Strata,92,"13,750",Freehold,14,-
KAMPONG GLAM CONSERVATION AREA,JALAN PISANG,Shop House,"6,880,000",814.83,"8,443",Sep-23,Land,75.7,"90,885",Freehold,07,-
